root_id,x,y,z,t,layer
2,-13.973,-68.821,-3.130,1800.0,Loam
2,-13.956,-68.948,-3.130,1850.0,Loam
2,-13.942,-69.062,-3.129,1900.0,Loam
2,-13.929,-69.163,-3.130,1950.0,Loam
2,-13.917,-69.254,-3.130,2000.0,Loam
2,-13.907,-69.334,-3.130,2050.0,Loam
2,-13.898,-69.407,-3.130,2100.0,Loam
2,-13.890,-69.471,-3.130,2150.0,Loam
2,-13.882,-69.528,-3.130,2200.0,Loam
2,-13.876,-69.580,-3.131,2250.0,Loam
2,-13.870,-69.625,-3.131,2300.0,Loam
2,-13.864,-69.666,-3.131,2350.0,Loam
2,-13.860,-69.702,-3.131,2400.0,Loam
2,-13.855,-69.735,-3.131,2450.0,Loam
2,-13.852,-69.764,-3.131,2500.0,Loam
2,-13.848,-69.790,-3.131,2550.0,Loam
2,-13.845,-69.813,-3.131,2600.0,Loam
2,-13.843,-69.833,-3.131,2650.0,Loam
2,-13.840,-69.852,-3.131,2700.0,Loam
2,-13.838,-69.868,-3.132,2750.0,Loam
2,-13.836,-69.883,-3.132,2800.0,Loam
2,-13.835,-69.896,-3.132,2850.0,Loam
2,-13.833,-69.907,-3.132,2900.0,Loam
2,-13.832,-69.918,-3.132,2950.0,Loam
2,-13.830,-69.927,-3.132,3000.0,Loam
2,-13.829,-69.935,-3.132,3050.0,Loam
2,-13.828,-69.943,-3.132,3100.0,Loam
2,-13.828,-69.949,-3.132,3150.0,Loam
2,-13.827,-69.955,-3.132,3200.0,Loam
2,-13.826,-69.961,-3.132,3250.0,Loam
2,-13.826,-69.965,-3.132,3300.0,Loam
2,-13.825,-69.969,-3.132,3350.0,Loam
2,-13.825,-69.973,-3.132,3400.0,Loam
2,-13.824,-69.976,-3.132,3450.0,Loam
2,-13.824,-69.979,-3.132,3500.0,Loam
2,-13.823,-69.982,-3.132,3550.0,Loam
2,-13.823,-69.984,-3.132,3600.0,Loam
2,-13.823,-69.987,-3.132,3650.0,Loam
2,-13.823,-69.988,-3.132,3700.0,Loam
2,-13.822,-69.990,-3.132,3750.0,Loam
2,-13.822,-69.992,-3.132,3800.0,Loam
2,-13.822,-69.993,-3.132,3850.0,Loam
2,-13.822,-69.994,-3.132,3900.0,Loam
2,-13.822,-69.995,-3.132,3950.0,Loam
